id	name	ping_1	ping_2	ping_3	ping_4	ping_5	ping_6	ping_7	ping_8	zhang_1	zhang_2	StructuredFund
513900	华安CES港股通ETF行情吧档案			0.9325	0.9325	0.9189	0.9189	0.9280	0.48%	0.0136	1.48%	True
510430	银华上证50等权ETF行情吧档案			1.3030	1.3030	1.2840	1.2840	1.2970	0.46%	0.0190	1.48%	True
159943	大成深证成份ETF行情吧档案			8.1660	0.5360	8.0470	0.5280	8.0540	1.37%	0.1190	1.48%	True
502005	易方达军工分级B行情吧档案			1.0932	---	1.0773	---	1.1170	-2.18%	0.0159	1.48%	True
150252	招商中证煤炭等权指数分级B行情吧档案			0.6455	0.2085	0.6362	0.2055	0.6590	-2.09%	0.0093	1.46%	True
159950	易方达深证成指ETF行情吧档案			0.7800	0.7800	0.7688	0.7688	0.7750	0.64%	0.0112	1.46%	True
150294	南方中证高铁产业指数分级B行情吧档案			0.4715	---	0.4648	---	0.4770	-1.17%	0.0067	1.44%	True
159915	易方达创业板ETF行情吧档案			1.2177	1.3950	1.2004	1.3752	1.2160	0.14%	0.0173	1.44%	True
159948	南方创业板ETF行情吧档案			1.3245	0.6509	1.3057	0.6416	1.3230	0.11%	0.0188	1.44%	True
510210	富国上证综指ETF行情吧档案			3.1070	1.0630	3.0630	1.0480	3.0980	0.29%	0.0440	1.44%	True
159955	嘉实创业板ETF行情吧档案			0.6861	0.6861	0.6764	0.6764	0.6850	0.16%	0.0097	1.43%	True
159958	工银瑞信创业板ETF行情吧档案			0.7359	0.7359	0.7255	0.7255	0.7340	0.26%	0.0104	1.43%	True
150318	交银中证互联网金融指数分级B行情吧档案			1.1340	0.0830	1.1180	0.0820	1.5150	-33.60%	0.0160	1.43%	True
159956	建信创业板ETF行情吧档案			0.7189	0.7189	0.7088	0.7088	0.7180	0.13%	0.0101	1.42%	True
159908	博时创业板ETF行情吧档案			1.0961	1.0961	1.0808	1.0808	1.0940	0.19%	0.0153	1.42%	True
159957	华夏创业板ETF行情吧档案			0.7456	0.7456	0.7352	0.7352	0.7450	0.08%	0.0104	1.41%	True
510220	华泰柏瑞中小盘ETF行情吧档案			3.3615	0.9294	3.3147	0.9166	3.3280	1.00%	0.0468	1.41%	True
150022	申万菱信深证成指分级收益行情吧档案			0.7649	1.1656	0.7545	1.1552	0.6780	11.36%	0.0104	1.38%	True
510190	华安上证龙头ETF行情吧档案			2.8690	1.0990	2.8300	1.0840	2.8670	0.07%	0.0390	1.38%	True
510880	华泰柏瑞上证红利ETF行情吧档案			2.5624	2.1057	2.5280	2.0831	2.5600	0.09%	0.0344	1.36%	True
159952	广发创业板ETF行情吧档案			0.7332	0.7332	0.7234	0.7234	0.7320	0.16%	0.0098	1.35%	True
513600	南方恒生ETF行情吧档案			2.4763	1.2843	2.4433	1.2672	2.4660	0.42%	0.0330	1.35%	True
150023	申万菱信深证成指分级进取行情吧档案			0.0751	0.0751	0.0741	0.0741	0.1620	-115.71%	0.0010	1.35%	True
159920	华夏恒生ETF行情吧档案			1.4222	1.4982	1.4033	1.4793	1.4200	0.15%	0.0189	1.35%	True
513660	华夏沪港通恒生ETF行情吧档案			2.4564	1.2753	2.4238	1.2584	2.4440	0.50%	0.0326	1.35%	True
512880	国泰中证全指证券公司ETF行情吧档案			0.7913	0.7913	0.7811	0.7811	0.7910	0.04%	0.0102	1.31%	True
512900	南方中证全指证券ETF行情吧档案			0.7625	0.7625	0.7527	0.7527	0.7610	0.20%	0.0098	1.30%	True
512000	华宝中证全指证券ETF行情吧档案			0.7540	0.7540	0.7444	0.7444	0.7540	0.00%	0.0096	1.29%	True
159954	南方恒生中国企业ETF行情吧档案			0.9476	0.9476	0.9357	0.9357	0.9440	0.38%	0.0119	1.27%	True
512570	易方达中证全指证券ETF行情吧档案			0.7488	0.7488	0.7394	0.7394	0.7530	-0.56%	0.0094	1.27%	True
512330	南方中证500信息技术ETF行情吧档案			0.5836	0.5836	0.5763	0.5763	0.5840	-0.07%	0.0073	1.27%	True
159930	汇添富中证能源ETF行情吧档案			0.6802	0.6802	0.6717	0.6717	0.6740	0.91%	0.0085	1.27%	True
150165	东吴转债B行情吧档案			0.8030	---	0.7930	---	0.8890	-10.71%	0.0100	1.26%	True
510900	易方达恒生国企ETF行情吧档案			1.1454	1.1954	1.1312	1.1812	1.1410	0.38%	0.0142	1.26%	True
159960	平安港股通恒生中国企业ETF行情吧档案			0.9658	0.9658	0.9539	0.9539	0.9630	0.29%	0.0119	1.25%	True
159909	招商深证TMT50ETF行情吧档案			3.3477	1.0295	3.3065	1.0168	3.3460	0.05%	0.0412	1.25%	True
510820	上证上海改革发展主题ETF行情吧档案			0.7440	0.7440	0.7349	0.7349	---	---	0.0091	1.24%	True
150185	申万中证环保产业指数分级B行情吧档案			0.8638	---	0.8533	---	0.8590	0.56%	0.0105	1.23%	True
512040	富国中证价值ETF行情吧档案			0.9751	0.9751	0.9633	0.9633	0.9730	0.22%	0.0118	1.23%	True
159907	广发中小板300ETF行情吧档案			1.0109	0.9184	0.9988	0.9075	1.0110	-0.01%	0.0121	1.21%	True
510290	南方上证380ETF行情吧档案			1.1893	1.1893	1.1754	1.1754	1.1910	-0.14%	0.0139	1.18%	True
150278	鹏华高铁分级B行情吧档案			0.6850	0.0310	0.6770	0.0310	0.7190	-4.96%	0.0080	1.18%	True
512960	博时央企结构调整ETF行情吧档案			0.9428	0.9428	0.9320	0.9320	0.9430	-0.02%	0.0108	1.16%	True
159945	广发中证全指能源ETF行情吧档案			0.6140	0.6140	0.6071	0.6071	0.6140	0.00%	0.0069	1.14%	True
512850	中信建投北京50ETF行情吧档案			0.9507	0.9507	0.9409	0.9409	0.9490	0.18%	0.0098	1.04%	True
512950	华夏中证央企ETF行情吧档案			0.9484	0.9484	0.9387	0.9387	0.9500	-0.17%	0.0097	1.03%	True
159932	大成中证500深市ETF行情吧档案			1.1870	1.0060	1.1750	0.9950	1.1810	0.51%	0.0120	1.02%	True
512510	华泰柏瑞中证500ETF行情吧档案			0.9238	0.4712	0.9145	0.4666	0.9230	0.09%	0.0093	1.02%	True
510510	广发中证500ETF行情吧档案			1.2333	1.2333	1.2209	1.2209	1.2310	0.19%	0.0124	1.02%	True
159922	嘉实中证500ETF行情吧档案			4.5414	1.2733	4.4958	1.2606	4.5520	-0.23%	0.0456	1.01%	True
510500	南方中证500ETF行情吧档案			4.6570	1.3055	4.6103	1.2924	4.6590	-0.04%	0.0467	1.01%	True
150191	新华中证环保产业指数分级B行情吧档案			1.0990	0.1670	1.0880	0.1650	1.1490	-4.55%	0.0110	1.01%	True
510590	平安中证500ETF行情吧档案			4.4380	0.7405	4.3936	0.7331	4.4300	0.18%	0.0444	1.01%	True
510550	方正富邦中证500ETF行情吧档案			1.0108	1.0108	1.0007	1.0007	1.0010	0.97%	0.0101	1.01%	True
